segment,priority,company,location,website,source_url,public_contact,likely_buyer_role,public_person_or_team,why_fit,workflow_hook,outreach_angle,channel,status,notes
Federal-adjacent ops/proposal team,High,A.J. Labourdette Inc.,Harahan LA,https://www.ajlab.net,https://www.ajlab.net/capability-statement/,"aaron@ajlab.net; info@ajlabourdetteinc.com; 504-733-0772",Government business POC / operations,Aaron Labourdette,"Gov/business capability statement; government and military sector work; telecom/design/integration services","RFP/SOW review, compliance matrix, vendor docs, project submittal routing","Veteran/federal-doc credibility plus OmniBid RFP workflow demo; offer audit around turning solicitations and specs into reviewable matrices",Cold email,New,"Public page lists CAGE 3BQP6, NAICS, government business POC."
Federal-adjacent ops/proposal team,High,Trigon Associates LLC,New Orleans LA,https://www.trigonassociates.com,https://www.trigonassociates.com/wp-content/uploads/2023/08/Trigon-Capability-Statement-2023.pdf,504-585-5767,Principal / proposal operations / project management team,Leadership / BD team,"Engineering, management, consulting; WOSB; capability statement; public infrastructure and environmental work","RFQ/RFP intake, requirements extraction, bid/no-bid packet prep, subconsultant document collection","Position as document workflow help under their engineering/proposal operations, not capture strategy",Cold email,New,"Capability statement shows NAICS including engineering/management/environmental and CAGE 5HPX5."
Federal-adjacent ops/proposal team,High,GLE Associates Inc.,Tampa FL / Louisiana service area,https://www.gleassociates.com,https://www.gleassociates.com/wp-content/uploads/2024/06/Federal-Capability-Statement-2024.pdf,Contact form,Director of federal programs / proposal manager,Federal team,"Federal capability statement; environmental, industrial hygiene, forensics, construction consulting; small business for several NAICS","Federal RFP/RFQ docs, environmental reports, site assessment templates, deliverable review queues","Audit the recurring document flow from solicitation to compliance review to final deliverable package",Cold email,New,"Good fit despite not Louisiana-HQ because federal workflow and Louisiana work are explicit."
Federal-adjacent ops/proposal team,High,Louisiana Technology Consulting LLC,Mandeville LA,https://www.ltc.la,https://www.highergov.com/awardee/louisiana-technology-consulting-llc-416310637/,Contact form / website,Owner / federal programs / operations team,Leadership team,"Louisiana federal contract recipient; software consulting, system integration, DBA, programming, project management","Task-order intake, requirements mapping, status/reporting docs, customer deliverables","Use software/federal shared language; pitch workflow agent for task-order and deliverable review",Cold email,New,"HigherGov lists federal award history and primary NAICS 541512."
Federal-adjacent ops/proposal team,High,GOTECH Inc.,Baton Rouge LA,https://www.gotech-inc.com,https://www.gotech-inc.com/,"info@gotech-inc.com; 225-766-5358",President / operations / proposal coordinator,Rhaoul A. Guillaume Sr. / team,"Engineering and consulting firm with public, state, and federal government agency experience","RFQs, CE&I documentation, project reports, compliance and schedule deliverables","Lead with reducing manual proposal and project-document assembly for public-sector engineering work",Cold email,New,"Official page names government agency experience and contact details."
Federal-adjacent ops/proposal team,High,Fourrier & de Abreu Engineers LLC,Baton Rouge LA,https://fdaengineers.com,https://fdaengineers.com/,"contact@fdaengineers.com; 225-677-7950",Founder / principal / proposal operations,Leadership team,"Minority-owned engineering firm; DBE/SEBD; USACE-validated lab; multi-state licensed engineering","RFP/RFQ review, lab/accreditation docs, project submittals, compliance tables","Offer audit on one bid or project-document workflow that repeatedly pulls from specs, lab docs, and forms",Cold email,New,"Official page shows certifications, USACE validation, NAICS-style service lines."
Federal-adjacent ops/proposal team,Medium,Kemper Engineering Services LLC,Baton Rouge LA,https://kempereng.com,https://kempereng.com/,mediaforKES@kempereng.com,Founder / operations / federal BD,Kemper Engineering leadership,"WOSB/SDVOSB; defense/security and heavy engineering work; multi-disciplinary consulting","Technical proposal inputs, forensic reports, source-doc synthesis, design-review packets","Veteran-to-veteran resonance; frame around document traceability for technical proposal/report workflows",Cold email,New,"Official page lists WOSB, SDVOSB, defense/security and LinkedIn company page."
Federal-adjacent ops/proposal team,High,PMF Consulting Engineers / PMF LLC,Baton Rouge LA,https://pmfengineers.com,https://pmfengineers.com/,"Maurice@pmfengineers.com; 225-445-2453",Founder / principal / operations,Maurice / leadership,"Minority-owned DBE/SBE engineering, facility services, CMAR; public institutions focus; $7.8M 2026 revenue listed","Facilities assessments, capital planning docs, bid packages, monthly reports","Strong SMB-size fit; audit a facilities-condition or bid-package workflow with AI-assisted extraction and review",Cold email,New,"Official page gives revenue, divisions, contact email."
Federal-adjacent ops/proposal team,Medium,MR Engineering & Surveying LLC,Baton Rouge LA,https://mresbr.com,https://mresbr.com/,mickey@mresmail.com,Principal / operations / project manager,Mickey / leadership,"Civil engineering and land surveying for private and public-sector clients","RFQs, survey reports, project closeout docs, client deliverables","Pitch one workflow audit around turning project docs and RFQs into structured review tasks",Cold email,New,"Official page lists public-sector clients and direct email."
Federal-adjacent ops/proposal team,Medium,La Terre Engineering LLC,Baton Rouge LA,https://www.laterre-eng.com,https://www.laterre-eng.com/,"stoussant@laterre-eng.com; 225-960-1160",Founder / principal engineer,Seneca Toussant PE,"Minority-owned civil engineering firm; public-oriented service areas: water/environmental, transportation, facilities","RFQ response prep, requirements extraction, drainage/water project docs, compliance checklisting","Lead with local Baton Rouge engineering workflows and founder-led hands-on implementation",Cold email,New,"Official page lists founder, services, direct email."
